Designator,Mid X,Mid Y,Rotation,Layer
C1_6,108.3225,-36.8145,270.0,top
C1_5,108.3225,-72.8745,270.0,top
C1_4,76.0725,-36.8145,270.0,top
C1_3,76.0725,-72.8745,270.0,top
C1_2,43.8225,-36.8145,270.0,top
C1,43.8225,-72.8745,270.0,top
C2_6,94.0985,-42.1485,270.0,top
C2_5,94.0985,-78.2085,270.0,top
C2_4,61.8485,-42.1485,270.0,top
C2_3,61.8485,-78.2085,270.0,top
C2_2,29.5985,-42.1485,270.0,top
C2,29.5985,-78.2085,270.0,top
C3_6,113.6565,-41.4395,90.0,top
C3_5,113.6565,-77.4995,90.0,top
C3_4,81.4065,-41.4395,90.0,top
C3_3,81.4065,-77.4995,90.0,top
C3_2,49.1565,-41.4395,90.0,top
C3,49.1565,-77.4995,90.0,top
C4_6,113.6565,-37.5765,270.0,top
C4_5,113.6565,-73.6365,270.0,top
C4_4,81.4065,-37.5765,270.0,top
C4_3,81.4065,-73.6365,270.0,top
C4_2,49.1565,-37.5765,270.0,top
C4,49.1565,-73.6365,270.0,top
D1_6,90.9161,-25.654,0.0,bottom
D1_5,90.9161,-61.714,0.0,bottom
D1_4,58.6661,-25.654,0.0,bottom
D1_3,58.6661,-61.714,0.0,bottom
D1_2,26.4161,-25.654,0.0,bottom
D1,26.4161,-61.714,0.0,bottom
D10_6,90.9161,-50.8,0.0,bottom
D10_5,90.9161,-86.86,0.0,bottom
D10_4,58.6661,-50.8,0.0,bottom
D10_3,58.6661,-86.86,0.0,bottom
D10_2,26.4161,-50.8,0.0,bottom
D10,26.4161,-86.86,0.0,bottom
D11_6,90.9161,-53.594,0.0,bottom
D11_5,90.9161,-89.654,0.0,bottom
D11_4,58.6661,-53.594,0.0,bottom
D11_3,58.6661,-89.654,0.0,bottom
D11_2,26.4161,-53.594,0.0,bottom
D11,26.4161,-89.654,0.0,bottom
D12_6,90.9161,-56.388,0.0,bottom
D12_5,90.9161,-92.448,0.0,bottom
D12_4,58.6661,-56.388,0.0,bottom
D12_3,58.6661,-92.448,0.0,bottom
D12_2,26.4161,-56.388,0.0,bottom
D12,26.4161,-92.448,0.0,bottom
D2_6,90.8881,-28.448,0.0,bottom
D2_5,90.8881,-64.508,0.0,bottom
D2_4,58.6381,-28.448,0.0,bottom
D2_3,58.6381,-64.508,0.0,bottom
D2_2,26.3881,-28.448,0.0,bottom
D2,26.3881,-64.508,0.0,bottom
D3_6,90.9161,-31.242,0.0,bottom
D3_5,90.9161,-67.302,0.0,bottom
D3_4,58.6661,-31.242,0.0,bottom
D3_3,58.6661,-67.302,0.0,bottom
D3_2,26.4161,-31.242,0.0,bottom
D3,26.4161,-67.302,0.0,bottom
D4_6,90.9161,-34.036,0.0,bottom
D4_5,90.9161,-70.096,0.0,bottom
D4_4,58.6661,-34.036,0.0,bottom
D4_3,58.6661,-70.096,0.0,bottom
D4_2,26.4161,-34.036,0.0,bottom
D4,26.4161,-70.096,0.0,bottom
D5_6,90.9161,-36.83,0.0,bottom
D5_5,90.9161,-72.89,0.0,bottom
D5_4,58.6661,-36.83,0.0,bottom
D5_3,58.6661,-72.89,0.0,bottom
D5_2,26.4161,-36.83,0.0,bottom
D5,26.4161,-72.89,0.0,bottom
D6_6,90.9161,-39.624,0.0,bottom
D6_5,90.9161,-75.684,0.0,bottom
D6_4,58.6661,-39.624,0.0,bottom
D6_3,58.6661,-75.684,0.0,bottom
D6_2,26.4161,-39.624,0.0,bottom
D6,26.4161,-75.684,0.0,bottom
D7_6,90.9161,-42.418,0.0,bottom
D7_5,90.9161,-78.478,0.0,bottom
D7_4,58.6661,-42.418,0.0,bottom
D7_3,58.6661,-78.478,0.0,bottom
D7_2,26.4161,-42.418,0.0,bottom
D7,26.4161,-78.478,0.0,bottom
D8_6,91.0291,-45.212,0.0,bottom
D8_5,91.0291,-81.272,0.0,bottom
D8_4,58.7791,-45.212,0.0,bottom
D8_3,58.7791,-81.272,0.0,bottom
D8_2,26.5291,-45.212,0.0,bottom
D8,26.5291,-81.272,0.0,bottom
D9_6,90.9161,-48.006,0.0,bottom
D9_5,90.9161,-84.066,0.0,bottom
D9_4,58.6661,-48.006,0.0,bottom
D9_3,58.6661,-84.066,0.0,bottom
D9_2,26.4161,-48.006,0.0,bottom
D9,26.4161,-84.066,0.0,bottom
J1_6,103.1955,-54.511,0.0,top
J1_5,103.1955,-90.571,0.0,top
J1_4,70.9455,-54.511,0.0,top
J1_3,70.9455,-90.571,0.0,top
J1_2,38.6955,-54.511,0.0,top
J1,38.6955,-90.571,0.0,top
R1_6,94.0985,-47.7865,90.0,top
R1_5,94.0985,-83.8465,90.0,top
R1_4,61.8485,-47.7865,90.0,top
R1_3,61.8485,-83.8465,90.0,top
R1_2,29.5985,-47.7865,90.0,top
R1,29.5985,-83.8465,90.0,top
R10_6,87.1816,-28.448,0.0,bottom
R10_5,87.1816,-64.508,0.0,bottom
R10_4,54.9316,-28.448,0.0,bottom
R10_3,54.9316,-64.508,0.0,bottom
